id;categorie;marked_idx;marked;detection;action
phil-spinoza-deus-sive-natura;philosophie;3;« Dieu, c'est-à-dire la Nature »;reponse-trop-longue position-1ou3;A_RECONFIRMER
phil-kant-sapere-aude;philosophie;1;« Sapere aude » : ose te servir de ton propre entendement;reponse-trop-longue position-1ou3;A_RECONFIRMER
phil-stoics-live-in-accordance-with-nature;philosophie;3;Vivre conformément à la nature et à la raison;reponse-trop-longue position-1ou3;A_RECONFIRMER
sci-nitrogen;science;1;Le dioxyde de carbone;reponse-trop-longue position-1ou3;A_RECONFIRMER
tv-prison-break-scofield;series;3;T-Bag;reponse-trop-courte position-1ou3;A_RECONFIRMER
art-seurat-grandejatte-technique;art;0;Le Pointillisme (Divisionnisme);reponse-trop-longue;A_RECONFIRMER
film-star-wars-year;cinema;3;1980;position-1ou3;A_RECONFIRMER
film-millennium-falcon;cinema;1;Serenity;position-1ou3;A_RECONFIRMER
film-harry-potter-actor;cinema;3;Tom Felton;position-1ou3;A_RECONFIRMER
film-bond-dr-no;cinema;1;Pierce Brosnan;position-1ou3;A_RECONFIRMER
film-godfather-vito;cinema;3;Robert De Niro;position-1ou3;A_RECONFIRMER
film-jaws-shark;cinema;1;E.T. l'extra-terrestre;position-1ou3;A_RECONFIRMER
film-pulp-fiction-director;cinema;3;David Fincher;position-1ou3;A_RECONFIRMER
film-titanic-oscar-1998;cinema;0;Titanic;reponse-trop-courte;A_RECONFIRMER
film-chevre-depardieu-richard;cinema;1;Les Fugitifs;position-1ou3;A_RECONFIRMER
film-bronzes-saga;cinema;3;La Grande Vadrouille;position-1ou3;A_RECONFIRMER
film-gendarme-st-tropez;cinema;1;La Folie des grandeurs;position-1ou3;A_RECONFIRMER
film-amelie-director;cinema;3;Cédric Klapisch;position-1ou3;A_RECONFIRMER
film-walle-eve;cinema;1;Dot;position-1ou3;A_RECONFIRMER
film-shrek-studio;cinema;3;Laika;position-1ou3;A_RECONFIRMER
film-toy-story-woody-voice;cinema;1;Billy Crystal;position-1ou3;A_RECONFIRMER
film-reine-neiges-soeurs;cinema;3;Vaiana;position-1ou3;A_RECONFIRMER
film-inception-nolan;cinema;1;Tenet;position-1ou3;A_RECONFIRMER
film-joker-ledger;cinema;3;Jared Leto;position-1ou3;A_RECONFIRMER
film-lotr-ring-bearer;cinema;1;Bilbon;position-1ou3;A_RECONFIRMER
film-harry-potter-studio;cinema;3;Paramount;position-1ou3;A_RECONFIRMER
film-iron-man-actor;cinema;1;Chris Hemsworth;position-1ou3;A_RECONFIRMER
film-matrix-neo;cinema;3;Trinity;position-1ou3;A_RECONFIRMER
film-titanic-famous-line;cinema;1;Vive la vie;position-1ou3;A_RECONFIRMER
film-scarface-quote;cinema;1;Tu me parles, à moi ?;position-1ou3;A_RECONFIRMER
film-taxi-driver-quote;cinema;3;Qui va là ?;position-1ou3;A_RECONFIRMER
film-oscars-record-11;cinema;1;Lawrence d'Arabie;position-1ou3;A_RECONFIRMER
film-oscars-actress-4;cinema;3;Bette Davis;position-1ou3;A_RECONFIRMER
film-oscars-will-smith;cinema;1;2020;position-1ou3;A_RECONFIRMER
film-goodfellas-director;cinema;3;Quentin Tarantino;position-1ou3;A_RECONFIRMER
film-blade-runner-director;cinema;1;John Carpenter;position-1ou3;A_RECONFIRMER
film-citizen-kane;cinema;3;Casablanca;position-1ou3;A_RECONFIRMER
film-avatar-pandora;cinema;1;Tatooine;position-1ou3;A_RECONFIRMER
film-jurassic-park-director;cinema;3;Roland Emmerich;position-1ou3;A_RECONFIRMER
film-gladiator-maximus;cinema;1;Mel Gibson;position-1ou3;A_RECONFIRMER
film-intouchables-actor;cinema;1;Jamel Debbouze;position-1ou3;A_RECONFIRMER
film-leon-besson;cinema;1;Le Grand Bleu;position-1ou3;A_RECONFIRMER
film-la-la-land-director;cinema;1;Tom Hooper;position-1ou3;A_RECONFIRMER
film-inception-totem;cinema;3;Une clé;position-1ou3;A_RECONFIRMER
film-coco-mexico;cinema;0;Coco;reponse-trop-courte;A_RECONFIRMER
film-ghibli-studio-prod;cinema;1;Madhouse;position-1ou3;A_RECONFIRMER
film-artist-best-picture;cinema;3;Minuit à Paris;position-1ou3;A_RECONFIRMER
film-bttf-director;cinema;1;John Landis;position-1ou3;A_RECONFIRMER
film-oscars-meryl;cinema;3;Cate Blanchett;position-1ou3;A_RECONFIRMER
cg-inv-dynamite;culture-generale;1;Thomas Edison;position-1ou3;A_RECONFIRMER
cg-inv-edison;culture-generale;3;Nikola Tesla;position-1ou3;A_RECONFIRMER
cg-inv-diesel;culture-generale;1;Nikolaus Otto;position-1ou3;A_RECONFIRMER
cg-inv-radium;culture-generale;3;Lise Meitner;position-1ou3;A_RECONFIRMER
cg-inv-aspirine;culture-generale;1;Joseph Lister;position-1ou3;A_RECONFIRMER
cg-mon-eiffel-annee;culture-generale;3;1900;position-1ou3;A_RECONFIRMER
cg-mon-kheops;culture-generale;1;La pyramide de Mykérinos;position-1ou3;A_RECONFIRMER
cg-mon-versailles;culture-generale;3;Louis XV;position-1ou3;A_RECONFIRMER
cg-mon-nimes;culture-generale;1;Orange;position-1ou3;A_RECONFIRMER
cg-mon-vatican;culture-generale;3;Le palais des Doges;position-1ou3;A_RECONFIRMER
cg-flag-canada;culture-generale;1;L'Australie;position-1ou3;A_RECONFIRMER
cg-flag-suisse;culture-generale;3;La Norvège;position-1ou3;A_RECONFIRMER
cg-flag-usa-etoiles;culture-generale;1;51;position-1ou3;A_RECONFIRMER
cg-flag-union-jack;culture-generale;3;La France;position-1ou3;A_RECONFIRMER
cg-flag-italie;culture-generale;1;L'Irlande;position-1ou3;A_RECONFIRMER
cg-ani-plus-rapide;culture-generale;1;L'antilope;position-1ou3;A_RECONFIRMER
cg-ani-poulpe;culture-generale;3;Deux;position-1ou3;A_RECONFIRMER
cg-ani-ornithorynque;culture-generale;1;Le koala;position-1ou3;A_RECONFIRMER
cg-ani-araignee;culture-generale;3;Dix;position-1ou3;A_RECONFIRMER
cg-ani-colombe;culture-generale;1;L'aigle;position-1ou3;A_RECONFIRMER
cg-corps-organe;culture-generale;3;Le cerveau;position-1ou3;A_RECONFIRMER
cg-corps-bebe;culture-generale;1;Environ 250;position-1ou3;A_RECONFIRMER
cg-corps-coeur;culture-generale;3;Les reins;position-1ou3;A_RECONFIRMER
cg-corps-abo;culture-generale;1;Cinq;position-1ou3;A_RECONFIRMER
cg-corps-donneur;culture-generale;3;A positif;position-1ou3;A_RECONFIRMER
cg-alim-pomme;culture-generale;1;La grenade;position-1ou3;A_RECONFIRMER
cg-alim-guacamole;culture-generale;3;Le concombre;position-1ou3;A_RECONFIRMER
cg-alim-emmental;culture-generale;1;Le roquefort;position-1ou3;A_RECONFIRMER
cg-alim-vin;culture-generale;3;Le cidre;position-1ou3;A_RECONFIRMER
cg-alim-banane;culture-generale;1;La pêche;position-1ou3;A_RECONFIRMER
cg-alim-yaourt;culture-generale;3;Le beurre;position-1ou3;A_RECONFIRMER
cg-cap-canada;culture-generale;1;Montréal;position-1ou3;A_RECONFIRMER
cg-cap-bresil;culture-generale;3;São Paulo;position-1ou3;A_RECONFIRMER
cg-cap-turquie;culture-generale;1;Izmir;position-1ou3;A_RECONFIRMER
cg-cap-afrique-sud;culture-generale;3;Le Cap;position-1ou3;A_RECONFIRMER
cg-cap-inde;culture-generale;1;Calcutta;position-1ou3;A_RECONFIRMER
cg-xx-titanic-bateau;culture-generale;3;Le Normandie;position-1ou3;A_RECONFIRMER
cg-xx-concorde;culture-generale;1;Le Tupolev Tu-144;position-1ou3;A_RECONFIRMER
cg-xx-spoutnik-annee;culture-generale;3;1955;position-1ou3;A_RECONFIRMER
cg-xx-1969-tv;culture-generale;1;La finale de la Coupe du monde 1966;position-1ou3;A_RECONFIRMER
cg-xx-mur-1961;culture-generale;3;1963;position-1ou3;A_RECONFIRMER
cg-ins-fuseaux;culture-generale;1;Les États-Unis;position-1ou3;A_RECONFIRMER
cg-ins-soleil;culture-generale;3;30 minutes;position-1ou3;A_RECONFIRMER
cg-ins-mandarin;culture-generale;1;L'espagnol;position-1ou3;A_RECONFIRMER
cg-ins-asie;culture-generale;1;L'Europe;position-1ou3;A_RECONFIRMER
cg-geo-seychelles;culture-generale;1;Le Rwanda;position-1ou3;A_RECONFIRMER
cg-geo-gibraltar;culture-generale;3;Le détroit de Magellan;position-1ou3;A_RECONFIRMER
cg-geo-nigeria;culture-generale;1;L'Éthiopie;position-1ou3;A_RECONFIRMER
cg-sci-einstein;culture-generale;1;Niels Bohr;position-1ou3;A_RECONFIRMER
cg-sci-mars;culture-generale;3;Jupiter;position-1ou3;A_RECONFIRMER
cg-art-velasquez;culture-generale;1;Le Greco;position-1ou3;A_RECONFIRMER
cg-art-hugo;culture-generale;3;Alexandre Dumas;position-1ou3;A_RECONFIRMER
cg-art-petit-prince;culture-generale;1;Marcel Pagnol;position-1ou3;A_RECONFIRMER
cg-sport-hiver;culture-generale;3;Les États-Unis;position-1ou3;A_RECONFIRMER
cg-sport-phelps;culture-generale;3;Katie Ledecky;position-1ou3;A_RECONFIRMER
cg-ins-etoile-mer;culture-generale;1;La méduse;position-1ou3;A_RECONFIRMER
cg-ins-journee-venus;culture-generale;3;365 jours terrestres;position-1ou3;A_RECONFIRMER
cg-ins-saturne;culture-generale;1;Uranus;position-1ou3;A_RECONFIRMER
cg-exp-31;culture-generale;1;Se lever très tôt;position-1ou3;A_RECONFIRMER
cg-exp-lapin;culture-generale;2;Ne pas venir à un rendez-vous;reponse-trop-longue;A_RECONFIRMER
cg-exp-chair-poule;culture-generale;3;Être en colère;position-1ou3;A_RECONFIRMER
cg-exp-yeux-tete;culture-generale;1;Être dangereux;position-1ou3;A_RECONFIRMER
cg-exp-fromage;culture-generale;3;Bien cuisiner;position-1ou3;A_RECONFIRMER
cg-exp-taureau;culture-generale;1;Chasser des animaux;position-1ou3;A_RECONFIRMER
cg-exp-plat;culture-generale;2;Aborder un sujet délicat sans détour;reponse-trop-longue;A_RECONFIRMER
cg-exp-sellette;culture-generale;3;Avoir gagné;position-1ou3;A_RECONFIRMER
cg-exp-pot;culture-generale;0;Éviter d'aborder le sujet;reponse-trop-longue;A_RECONFIRMER
cg-exp-cafard;culture-generale;1;Avoir peur des insectes;position-1ou3;A_RECONFIRMER
cg-exp-mouron;culture-generale;3;Prendre du poids;position-1ou3;A_RECONFIRMER
cg-exp-chat-gorge;culture-generale;0;Avoir la voix enrouée;reponse-trop-longue;A_RECONFIRMER
cg-exp-pommes;culture-generale;1;Se blesser;position-1ou3;A_RECONFIRMER
cg-exp-coup-main;culture-generale;3;Frapper;position-1ou3;A_RECONFIRMER
cg-exp-pate;culture-generale;0;Participer au travail;reponse-trop-longue;A_RECONFIRMER
cg-exp-chaussettes;culture-generale;1;Être pressé;position-1ou3;A_RECONFIRMER
cg-exp-cordon-bleu;culture-generale;2;Être un excellent cuisinier;reponse-trop-longue;A_RECONFIRMER
cg-exp-grasse-matinee;culture-generale;3;Dormir peu;position-1ou3;A_RECONFIRMER
cg-exp-pain-planche;culture-generale;1;Être riche;position-1ou3;A_RECONFIRMER
cg-exp-temps-chien;culture-generale;3;Un temps doux;position-1ou3;A_RECONFIRMER
cg-exp-vache;culture-generale;1;Parler très vite;position-1ou3;A_RECONFIRMER
cg-rec-russie;culture-generale;3;La Chine;position-1ou3;A_RECONFIRMER
cg-rec-mariannes;culture-generale;1;La fosse des Tonga;position-1ou3;A_RECONFIRMER
cg-rec-faucon;culture-generale;3;Le martinet noir;position-1ou3;A_RECONFIRMER
cg-rec-frontiere;culture-generale;1;Entre l'Argentine et le Chili;position-1ou3;A_RECONFIRMER
cg-rec-baikal;culture-generale;1;La mer Caspienne;position-1ou3;A_RECONFIRMER
cg-rec-jo;culture-generale;3;La Russie;position-1ou3;A_RECONFIRMER
cg-rec-bolt-annee;culture-generale;1;2012;position-1ou3;A_RECONFIRMER
cg-rec-bresil-5;culture-generale;3;Quatre;position-1ou3;A_RECONFIRMER
cg-rec-bible;culture-generale;1;Don Quichotte;position-1ou3;A_RECONFIRMER
cg-rec-journee-terre;culture-generale;3;36 heures;position-1ou3;A_RECONFIRMER
cg-rec-musulmans;culture-generale;1;L'Inde;position-1ou3;A_RECONFIRMER
cg-rec-dollar;culture-generale;2;Le dollar américain;reponse-trop-longue;A_RECONFIRMER
cg-rec-tokyo;culture-generale;3;Paris;position-1ou3;A_RECONFIRMER
cg-rec-araignee-web;culture-generale;1;La tarentule;position-1ou3;A_RECONFIRMER
food-margherita-colors;food;1;Vert, jaune, rouge;position-1ou3;A_RECONFIRMER
food-tacos;food;1;Le Pérou;position-1ou3;A_RECONFIRMER
food-foie-gras;food;3;La Hongrie;position-1ou3;A_RECONFIRMER
food-cassoulet;food;1;L'Est;position-1ou3;A_RECONFIRMER
food-baguette-unesco;food;3;L'OMS;position-1ou3;A_RECONFIRMER
food-champagne;food;1;Le Bordelais;position-1ou3;A_RECONFIRMER
food-pastis;food;3;Le pineau;position-1ou3;A_RECONFIRMER
food-hamburger;food;3;Francfort;position-1ou3;A_RECONFIRMER
food-sushi-rice;food;1;Le blé;position-1ou3;A_RECONFIRMER
food-truffle;food;3;Un fruit;position-1ou3;A_RECONFIRMER
food-vanilla-orchid;food;1;Les cactus;position-1ou3;A_RECONFIRMER
food-chocolate-cocoa;food;2;De fèves de cacao;reponse-trop-longue;A_RECONFIRMER
food-cocoa-origin;food;3;L'Asie;position-1ou3;A_RECONFIRMER
food-dijon;food;1;Bordeaux;position-1ou3;A_RECONFIRMER
food-camembert;food;3;Le Jura;position-1ou3;A_RECONFIRMER
food-comte;food;1;Le camembert;position-1ou3;A_RECONFIRMER
food-tapas;food;3;Les mezze;position-1ou3;A_RECONFIRMER
food-bagel;food;3;La France;position-1ou3;A_RECONFIRMER
foot-france-1998;football;3;La Croatie;position-1ou3;A_RECONFIRMER
foot-wc-2022;football;1;Le Brésil;position-1ou3;A_RECONFIRMER
foot-pele-titles;football;3;4;position-1ou3;A_RECONFIRMER
foot-ucl;football;1;La Supercoupe d'Europe;position-1ou3;A_RECONFIRMER
foot-psg-stadium;football;3;Le Vélodrome;position-1ou3;A_RECONFIRMER
foot-marseille-1993;football;0;L'OM (Marseille);reponse-trop-longue;A_RECONFIRMER
foot-france-euros;football;1;3 fois;position-1ou3;A_RECONFIRMER
foot-zidane-clubs;football;3;Le Real Madrid;position-1ou3;A_RECONFIRMER
foot-england-record;football;0;Manchester United;reponse-trop-longue;A_RECONFIRMER
foot-bayern;football;1;Le RB Leipzig;position-1ou3;A_RECONFIRMER
foot-klose;football;3;Gerd Müller;position-1ou3;A_RECONFIRMER
game-mario-brother;gaming;1;Waluigi;position-1ou3;A_RECONFIRMER
game-mario-company;gaming;3;Sony;position-1ou3;A_RECONFIRMER
game-zelda-princess;gaming;1;La sorcière;position-1ou3;A_RECONFIRMER
game-pokemon-creator;gaming;3;Gunpei Yokoi;position-1ou3;A_RECONFIRMER
game-pokemon-gen1;gaming;1;250;position-1ou3;A_RECONFIRMER
game-minecraft-creator;gaming;3;Todd Howard;position-1ou3;A_RECONFIRMER
game-minecraft-ender-dragon;gaming;1;Le Warden;position-1ou3;A_RECONFIRMER
game-tetris-origin;gaming;1;Les États-Unis;position-1ou3;A_RECONFIRMER
game-ff-company;gaming;2;Square (Square Enix);reponse-trop-longue;A_RECONFIRMER
game-ff7-cloud;gaming;3;Zidane Tribal;position-1ou3;A_RECONFIRMER
game-gta-vice-city;gaming;1;Los Santos;position-1ou3;A_RECONFIRMER
game-minecraft-best-seller;gaming;3;GTA V;position-1ou3;A_RECONFIRMER
game-cs-bomb;gaming;1;Battlefield;position-1ou3;A_RECONFIRMER
game-skyrim-dovahkiin;gaming;3;L'Élu;position-1ou3;A_RECONFIRMER
game-mario-first;gaming;1;Mario Kart;position-1ou3;A_RECONFIRMER
game-witcher-geralt;gaming;0;Chasseur de monstres;reponse-trop-longue;A_RECONFIRMER
game-witcher-author;gaming;1;Henryk Sienkiewicz;position-1ou3;A_RECONFIRMER
game-zelda-ocarina;gaming;3;La harpe;position-1ou3;A_RECONFIRMER
game-halo-chief;gaming;1;Cortana;position-1ou3;A_RECONFIRMER
game-lara-croft;gaming;3;Espionne;position-1ou3;A_RECONFIRMER
game-resident-evil-city;gaming;1;Twin Peaks;position-1ou3;A_RECONFIRMER
game-ryu-hadoken;gaming;3;Le Rasengan;position-1ou3;A_RECONFIRMER
game-tetris-pieces;gaming;1;Les pentominos;position-1ou3;A_RECONFIRMER
game-fifa-editor;gaming;2;Electronic Arts;reponse-trop-longue;A_RECONFIRMER
game-roblox-platform;gaming;1;Il n'y a pas de graphismes;position-1ou3;A_RECONFIRMER
game-sims-creator;gaming;3;Peter Molyneux;position-1ou3;A_RECONFIRMER
game-zelda-first;gaming;1;1990;position-1ou3;A_RECONFIRMER
game-gameboy;gaming;3;La Game Gear;position-1ou3;A_RECONFIRMER
game-xbox-company;gaming;1;Nintendo;position-1ou3;A_RECONFIRMER
game-kingdom-hearts;gaming;3;DC et Marvel;position-1ou3;A_RECONFIRMER
game-starcraft-rts;gaming;1;Rocket League;position-1ou3;A_RECONFIRMER
riyad-12;geographie;0;Arabie saoudite;reponse-trop-longue;A_RECONFIRMER
azerbaidjan-21;geographie;0;Bakou;reponse-trop-courte;A_RECONFIRMER
naypyidaw-42;geographie;0;Birmanie (Myanmar);reponse-trop-longue;A_RECONFIRMER
sarajevo-46;geographie;0;Bosnie-Herzégovine;reponse-trop-longue;A_RECONFIRMER
brunei-51;geographie;0;Bandar Seri Begawan;reponse-trop-longue;A_RECONFIRMER
brazzaville-80;geographie;0;Congo (République);reponse-trop-longue;A_RECONFIRMER
la-havane-92;geographie;0;Cuba;reponse-trop-courte;A_RECONFIRMER
republique-dominicaine-95;geographie;0;Saint-Domingue;reponse-trop-longue;A_RECONFIRMER
saint-domingue-96;geographie;0;République dominicaine;reponse-trop-longue;A_RECONFIRMER
abou-dabi-100;geographie;0;Émirats arabes unis;reponse-trop-longue;A_RECONFIRMER
etats-unis-111;geographie;0;Washington D.C.;reponse-trop-longue;A_RECONFIRMER
fidji-115;geographie;0;Suva;reponse-trop-courte;A_RECONFIRMER
port-au-prince-136;geographie;0;Haïti;reponse-trop-courte;A_RECONFIRMER
bagdad-146;geographie;0;Irak;reponse-trop-courte;A_RECONFIRMER
vientiane-170;geographie;0;Laos;reponse-trop-courte;A_RECONFIRMER
skopje-186;geographie;0;Macédoine du Nord;reponse-trop-longue;A_RECONFIRMER
norvege-225;geographie;0;Oslo;reponse-trop-courte;A_RECONFIRMER
wellington-228;geographie;0;Nouvelle-Zélande;reponse-trop-longue;A_RECONFIRMER
port-moresby-238;geographie;0;Papouasie-Nouvelle-Guinée;reponse-trop-longue;A_RECONFIRMER
qatar-251;geographie;0;Doha;reponse-trop-courte;A_RECONFIRMER
doha-252;geographie;0;Qatar;reponse-trop-courte;A_RECONFIRMER
prague-254;geographie;0;République tchèque;reponse-trop-longue;A_RECONFIRMER
belgrade-266;geographie;0;Serbie;reponse-trop-courte;A_RECONFIRMER
sri-lanka-281;geographie;0;Sri Jayawardenapura Kotte;reponse-trop-longue;A_RECONFIRMER
trinite-et-tobago-301;geographie;0;Port-d'Espagne;reponse-trop-longue;A_RECONFIRMER
viet-nam-315;geographie;0;Hanoï;reponse-trop-courte;A_RECONFIRMER
lusaka-320;geographie;0;Zambie;reponse-trop-courte;A_RECONFIRMER
afrique-du-sud-100000;geographie;0;rand;reponse-trop-courte;A_RECONFIRMER
albanie-100001;geographie;0;lek;reponse-trop-courte;A_RECONFIRMER
allemagne-100002;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
andorre-100003;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
angola-100004;geographie;0;kwanza;reponse-trop-courte;A_RECONFIRMER
arabie-saoudite-100005;geographie;0;riyal saoudien;reponse-trop-longue;A_RECONFIRMER
armenie-100007;geographie;0;dram;reponse-trop-courte;A_RECONFIRMER
autriche-100008;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
bangladesh-100009;geographie;0;taka;reponse-trop-courte;A_RECONFIRMER
belgique-100011;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
birmanie-myanmar--100016;geographie;0;kyat;reponse-trop-courte;A_RECONFIRMER
botswana-100019;geographie;0;pula;reponse-trop-courte;A_RECONFIRMER
burkina-faso-100021;geographie;0;franc CFA (BCEAO);reponse-trop-longue;A_RECONFIRMER
burundi-100022;geographie;0;franc burundais;reponse-trop-longue;A_RECONFIRMER
cambodge-100023;geographie;0;riel;reponse-trop-courte;A_RECONFIRMER
chypre-100028;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
congo-republique--100031;geographie;0;franc CFA (BEAC);reponse-trop-longue;A_RECONFIRMER
costa-rica-100034;geographie;0;colón;reponse-trop-courte;A_RECONFIRMER
croatie-100036;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
emirats-arabes-unis-100040;geographie;0;dirham des Émirats;reponse-trop-longue;A_RECONFIRMER
erythree-100042;geographie;0;nakfa;reponse-trop-courte;A_RECONFIRMER
espagne-100043;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
estonie-100044;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
etats-unis-100046;geographie;0;dollar américain;reponse-trop-longue;A_RECONFIRMER
ethiopie-100047;geographie;0;birr;reponse-trop-courte;A_RECONFIRMER
finlande-100048;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
france-100049;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
gabon-100050;geographie;0;franc CFA (BEAC);reponse-trop-longue;A_RECONFIRMER
georgie-100052;geographie;0;lari;reponse-trop-courte;A_RECONFIRMER
ghana-100053;geographie;0;cédi;reponse-trop-courte;A_RECONFIRMER
grece-100054;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
hongrie-100059;geographie;0;forint;reponse-trop-courte;A_RECONFIRMER
irlande-100061;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
islande-100062;geographie;0;couronne islandaise;reponse-trop-longue;A_RECONFIRMER
israel-100063;geographie;0;shekel;reponse-trop-courte;A_RECONFIRMER
italie-100064;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
jamaique-100065;geographie;0;dollar jamaïcain;reponse-trop-longue;A_RECONFIRMER
japon-100066;geographie;0;yen;reponse-trop-courte;A_RECONFIRMER
laos-100069;geographie;0;kip;reponse-trop-courte;A_RECONFIRMER
lituanie-100074;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
luxembourg-100075;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
macedoine-du-nord-100076;geographie;0;denar;reponse-trop-courte;A_RECONFIRMER
malte-100081;geographie;0;euro;reponse-trop-courte;A_RECONFIRMER
